domain,finding,estimate,uncertainty,multiplicity,interpretation,source_file,claim_level
TCGA bulk RNA,Original versus ligand-excluded FAP-CAF score,rho=0.987; n=434,95% CI 0.984 to 0.989; P=0.00e+00,Not part of a confirmatory test family; score robustness check,Removing four candidate ligands does not materially alter the stromal/ECM score.,L0_TCGA/score_correlations.csv,validated
TCGA bulk RNA,Ligand-excluded FAP-CAF score versus CLDN core across all profiles,rho=-0.054; n=434,95% CI -0.147 to 0.040; P=0.262,Unadjusted prespecified correlation; primary-tumour sensitivity reported separately,No positive bulk association was detected; the interval excludes a moderate positive correlation.,L0_TCGA/score_correlations.csv,observed
TCGA bulk RNA,Primary-tumour-only ligand-excluded FAP-CAF versus CLDN core,rho=-0.152; n=380,P=0.003; BH-FDR=0.005,BH correction across three prespecified sensitivity correlations,"A weak inverse, not positive, association was detected in primary tumours.",L0_TCGA_primary_sensitivity/score_correlations.csv,observed
TCGA bulk RNA,Tumour versus adjacent-normal expression,FAP: median difference 4.20; CLDN1: median difference 5.00; CLDN2: median difference 6.55; CLDN4: median difference -0.30,FAP FDR=0.00e+00; CLDN1 FDR=0.00e+00; CLDN2 FDR=0.00e+00; CLDN4 FDR=1.52e-04,"BH correction across FAP, CLDN1, CLDN2 and CLDN4","FAP, CLDN1 and CLDN2 were higher in tumour; CLDN4 was modestly lower.",L0_TCGA/tumor_normal_gene_comparisons.csv,observed
TCGA CMS,FAP-CAF score across single-sample predictor CMS groups,n=314 classified tumours; CMS4 median=1.126,Kruskal-Wallis P=1.51e-28,Overall test followed by Bonferroni-adjusted pairwise tests,The FAP-CAF programme is enriched in CMS4; this is contextual rather than novel subtype discovery.,L0_TCGA/cms_kruskal_wallis.csv; cms_score_summary.csv,validated
TCGA MSI,MANTIS-defined MSI context,n=359; ligand-excluded FAP-CAF FDR=0.105; CLDN core FDR=1.44e-05,MSI-H=61; MSS=298,BH correction across three score comparisons,"The stromal score was not associated with MSI after correction, whereas the CLDN core was.",L0_TCGA/msi_score_comparisons.csv,observed
CPTAC proteomics,FAP protein versus ECM proteins,COL1A1 rho=0.720 (n=97); COL1A2 rho=0.729 (n=97); FN1 rho=0.814 (n=97),COL1A1 FDR=1.98e-16; COL1A2 FDR=8.08e-17; FN1 FDR=2.37e-23,BH correction across six prespecified protein correlations,FAP protein covaries strongly with collagen/fibronectin proteins.,CPTAC_protein/cptac_prespecified_correlations.csv,validated
CPTAC proteomics,FAP/ECM protein measures versus available CLDN proteins,FAP vs CLDN4: rho=-0.090 (n=71); ECM_protein_score vs CLDN4: rho=-0.179 (n=71); ECM_protein_score vs CLDN1: rho=-0.088 (n=18),FDR=0.549; FDR=0.202; FDR=0.729,BH correction across six prespecified protein correlations; pairwise complete cases,"No positive association was detected, but CLDN1 coverage was sparse and CLDN2 was unavailable.",CPTAC_protein/cptac_prespecified_correlations.csv,observed
GSE166555 single-cell pseudobulk,Paired tumour-normal compartment-specific expression,CAF_like FAP: median difference 2.264 (n=8); Epithelial CLDN1: median difference 2.648 (n=11); Epithelial CLDN2: median difference 3.259 (n=11); Epithelial CLDN4: median difference -0.433 (n=11),FAP FDR=0.014; CLDN1 FDR=0.005; CLDN2 FDR=0.005; CLDN4 FDR=0.005,BH correction across four paired tests,"CAF-like FAP, epithelial CLDN1 and CLDN2 increased; epithelial CLDN4 decreased.",L1_TISCH_GSE166555/paired_tumor_normal_tests.csv,validated
GSE166555 single-cell pseudobulk,Primary cross-compartment patient-level association,rho=-0.382; n=10,bootstrap 95% CI -0.962 to 0.447; P=0.276; BH-FDR=0.750,BH correction across 16 predictor-outcome combinations at the 20-cell threshold,No positive patient-level coupling was detected; the small cohort leaves a wide interval.,L1_TISCH_GSE166555/patient_level_associations.csv,observed
GSE166555 single-cell pseudobulk,Lower CAF-cell-threshold sensitivity association,rho=-0.391; n=11,bootstrap 95% CI -0.944 to 0.355; P=0.235; BH-FDR=0.716,BH correction across 16 predictor-outcome combinations at the 5-cell threshold,The direction remained inverse and non-significant after including one additional patient.,L1_TISCH_GSE166555/patient_level_associations.csv,sensitivity
Qi spatial cohort,FAP spatial autocorrelation and FAP-high/epithelial-high co-occurrence,"Moran I range 0.461-0.653; co-occurrence 3.34%, 0.67% and 0.24%",Each Moran permutation P=0.001 with 999 permutations,Per-patient spatial tests; no pooled spot-level inference,"FAP-rich regions were organised, but upper-quartile overlap with epithelial-high spots was limited.",L2_spatial/spatial_morans_i.csv; spatial_fap_epithelial_cooccurrence.csv,validated
Valdeolivas raw spatial,raw_bivariate_moran,median=-0.0464; n=7; positive=3; negative=4,two-sided exact Wilcoxon P=0.688; BH-FDR=0.688,BH correction across three patient-level spatial metrics,Raw scores did not show a consistent direction.,L2_Valdeolivas_spatial/spatial_patient_summary.csv,observed
